Bill of Materials from SM2000.sch, 407 parts, grouped by values, as of 1/28/2016 6:16:19 PM

Part	Value			Device			Package
C1	100nF,25V		CAP-0805		C0805			
C3	100nF,25V		CAP-0805		C0805			
C4	100nF,25V		CAP-0805		C0805			
C8	100nF,25V		CAP-0805		C0805			
C11	100nF,25V		CAP-0805		C0805			
C12	100nF,25V		CAP-0805		C0805			
C14	100nF,25V		CAP-0805		C0805			
C20	100nF,25V		CAP-0805		C0805			
C24	100nF,25V		CAP-0805		C0805			
C30	100nF,25V		CAP-0805		C0805			
C33	100nF,25V		CAP-0805		C0805			
C35	100nF,25V		CAP-0805		C0805			
C37	100nF,25V		CAP-0805		C0805			
C41	100nF,25V		CAP-0805		C0805			
C45	100nF,25V		CAP-0805		C0805			
C48	100nF,25V		CAP-0805		C0805			
C49	100nF,25V		CAP-0805		C0805			
C56	100nF,25V		CAP-0805		C0805			
C57	100nF,25V		CAP-0805		C0805			
C58	100nF,25V		CAP-0805		C0805			
C59	100nF,25V		CAP-0805		C0805			
C60	100nF,25V		CAP-0805		C0805			
C61	100nF,25V		CAP-0805		C0805			
C63	100nF,25V		CAP-0805		C0805			
C65	100nF,25V		CAP-0805		C0805			
C68	100nF,25V		CAP-0805		C0805			
C70	100nF,25V		CAP-0805		C0805			
C71	100nF,25V		CAP-0805		C0805			
C137	100nF,25V		CAP-0805		C0805			
C138	100nF,25V		CAP-0805		C0805
C2	10nF,25V		CAP-0805		C0805			
C5	10nF,25V		CAP-0805		C0805			
C9	10nF,25V		CAP-0805		C0805			
C15	10nF,25V		CAP-0805		C0805			
C25	10nF,25V		CAP-0805		C0805
C6	1uF,25V			CAP-0805		C0805			
C7	1uF,25V			CAP-0805		C0805			
C77	1uF,25V			CAP-0805		C0805
C10	1nF,25V			CAP-0805		C0805			
C13	1nF,25V			CAP-0805		C0805			
C27	1nF,25V			CAP-0805		C0805			
C40	1nF,25V			CAP-0805		C0805			
C72	1nF,25V			CAP-0805		C0805			
C73	1nF,25V			CAP-0805		C0805			
C74	1nF,25V			CAP-0805		C0805			
C75	1nF,25V			CAP-0805		C0805			
C76	1nF,25V			CAP-0805		C0805			
C78	1nF,25V			CAP-0805		C0805			
C81	1nF,25V			CAP-0805		C0805			
C91	1nF,25V			CAP-0805		C0805			
C96	1nF,25V			CAP-0805		C0805			
C97	1nF,25V			CAP-0805		C0805			
C98	1nF,25V			CAP-0805		C0805			
C100	1nF,25V			CAP-0805		C0805			
C102	1nF,25V			CAP-0805		C0805			
C103	1nF,25V			CAP-0805		C0805			
C106	1nF,25V			CAP-0805		C0805			
C131	1nF,25V			CAP-0805		C0805			
C132	1nF,25V			CAP-0805		C0805			
C135	1nF,25V			CAP-0805		C0805
C16	1uF,16V			CAP-0805		C0805
C17	2.2uF,25V		CAP-0805		C0805			
C18	2.2uF,25V		CAP-0805		C0805			
C38	2.2uF,25V		CAP-0805		C0805
C19	20pF,50V		CAP-0805		C0805			
C21	20pF,50V		CAP-0805		C0805			
C51	20pF,50V		CAP-0805		C0805
C22	4.7uF,25V		CAP-0805		C0805
C23	.33uF,25V		CAP-0805		C0805
C26	22uF,25V		CAP-1210		C1210			
C29	22uF,25V		CAP-1210		C1210			
C36	22uF,25V		CAP-1210		C1210			
C42	22uF,25V		CAP-1210		C1210			
C43	22uF,25V		CAP-1210		C1210			
