"Bill of Materials from SM1000.sch, 153 parts, grouped by values, as of 4/25/2014 10:35:43 AM"
"Part","Qty","DEFINITION","MANUFACTURER","MFG_NUMBER","DISTRIBUTOR","DIST_NUMBER","GENERIC","ROHS","COST100",
"C1, C2, C3, C4, C7, C8, C11, C13, C16, C17, C18, C19, C20, C21, C22, C23, C33, C37, C40, C41, C42, C43, C44, C45","24","CAP CER 0.1UF 16V 10% X7R 0603","YAGEO","CC0603KRX7R7BB104","DIGIKEY","311-1088-1-ND","Y","Y","0.013"
"C5, C6, C24","3","CAP CER 1UF 16V 10% X5R 0603","TDK","C1608X5R1C105K080AA","DIGIKEY","445-1416-1-ND","Y","Y","0.034"
"C9","1","CAP TANT 4.7UF 16V 10% 1206","AVX","TAJA475K016RNJ","DIGIKEY","478-3868-1-ND","Y","Y","0.260"
"C10, C12","2","CAP TANT 1UF 16V 20% 1206","NICHICON","F931C105MAA","DIGIKEY","493-2364-1-ND","Y","Y","0.152"
"C14, C15","2","CAP CER 2.2UF 16V Y5V 0805","YAGEO","CC0805ZRY5V7BB225","DIGIKEY","311-1463-1-ND","Y","Y","0.042"
"C25","1","CAP CER 22UF 25V 10% X5R 1210","MURATA","GRM32ER61E226KE15L","DIGIKEY","490-3889-1-ND","N","Y","0.540"
"C26, C46","2","CAP CER 0.1UF 16V 10% X7R 0603","YAGEO","CC0603KRX7R7BB104","DIGIKEY","311-1088-1-ND","Y","Y","0.013"
"C27","1","CAP CER 7PF 50V NPO 0603","YAGEO","CC0603DRNPO9BN7R0","DIGIKEY","311-1056-1-ND","N","Y","0.029"
"C28, C29","2","CAP CER 10UF 10V 20% X5R 1206","TDK","C3216X5R1A106M160AB","DIGIKEY","445-1387-1-ND","N","Y","0.114"
"C30","1","CAP CER 0.47UF 16V 10% X5R 0603","TDK","C1608X5R1C474K080AA","DIGIKEY","445-5152-1-ND","N","Y","0.030"
"C31","1","CAP CER 0.082UF 25V 10% X7R 0603","MURATA","GRM188R71E823KA01D","DIGIKEY","490-6434-1-ND","N","Y","0.050"
"C32, C35, C36, C38","4","CAP ALUM 100UF 16V 20% SMD","CHEMI-CON","EMZA160ADA101MF61G","DIGIKEY","565-2539-1-ND","Y","Y","0.325"
"C34","1","CAP CER 100PF 50V 5% NP0 0603","TDK","C1608NP01H101J080AA","DIGIKEY","445-14054-1-ND","Y","Y","0.038"
"C39","1","CAP ALUM 470UF 16V 20% SMD","UNITED CHEMI-CON","EMVE160ADA471MHA0G","DIGIKEY","565-2208-1-ND","Y","Y","0.456"
"CN1","1","CONN HEADER 6POS .100 VERT GOLD","MOLEX","22-10-2061","DIGIKEY","WM2726-ND","Y","Y","0.985"
"CN2","1","CONN RECEPT MINIUSB R/A 5POS SMD","MOLEX","0675031020","DIGIKEY","WM5461CT-ND","N","Y","0.856"
"CN3","1","CONN JACK R/A .100" PIN SMD","SWITCHCRAFT","RASM712PX","DIGIKEY","RASM712PX-ND","N","Y","1.082"
"CN4","1","CONN MOD JACK R/A 8P8C","MOLEX","0441440003","DIGIKEY","WM4595CT-ND","N","Y","1.387"
"CN5, CN6, CN7, CN8, CN9","5","CONN AUDIO JACK MONO 3.5MM SMD","CUI","MJ-3523-SMT-TR","DIGIKEY","CP-3523MJTR-ND","N","Y","0.796"
"D1","1","DIODE SCHOTTKY 10V 3A SOD323","STM","BAT60JFILM","DIGIKEY","497-3707-1-ND","Y","Y","0.240"
"FB1, FB2, FB3, FB4, FB6","5","FERRITE 500MA 600 OHM 0805 SMD","lAIRD","HZ0805E601R-10","DIGIKEY","240-2399-1-ND","N","Y","0.0381"
"FB5","1","FERRITE 1.5A 60 OHM 1210 SMD","LAIRD","MI1210K600R-10","DIGIKEY","240-2416-1-ND","N","Y","0.100"
